snapshot,AL_ror_2025,AT_ror_2025,BA_ror_2025,BE_ror_2025,BG_ror_2025,CH_ror_2025,CZ_ror_2025,DE_ror_2025,EE_ror_2025,ES_ror_2025,FI_ror_2025,FR_ror_2025,GR_ror_2025,HR_ror_2025,HU_ror_2025,IE_ror_2025,IT_ror_2025,LT_ror_2025,LU_ror_2025,LV_ror_2025,MD_ror_2025,ME_ror_2025,MK_ror_2025,NL_ror_2025,NO_ror_2025,PL_ror_2025,PT_ror_2025,RO_ror_2025,RS_ror_2025,SE_ror_2025,SI_ror_2025,SK_ror_2025,UK_ror_2025,XK_ror_2025
01.01.2025 00:00,0.06198,0.30426,0.113561,0.687213,0.132907,0.266242,0.128353,0.596077,0,0.527094,0.511245,0.591288,0.378,0.238861,0.44874,0.570846,0.258249,0.437176,0.684201,0.02641,0,0.15746,0.02138,0,0.592028,0.503166,0.140826,0.371941,0.428571,0.35421,0.090094,0.232892,0.19516,0.07694
01.01.2025 01:00,0.06074,0.30033,0.149166,0.687989,0.132323,0.264119,0.406737,0.59167,0,0.510126,0.486606,0.579303,0.37133,0.189509,0.448028,0.57014,0.252842,0.431841,0.67728,0.02636,0,0.15746,0.02133,0,0.585834,0.503452,0.062204,0.369386,0.411529,0.35409,0.087915,0.231347,0.19512,0.07694
01.01.2025 02:00,0.06031,0.300783,0.155915,0.626787,0.129821,0.262051,0.430766,0.584802,0,0.500274,0.484095,0.570338,0.37138,0.190073,0.448503,0.571674,0.24024,0.363814,0.677626,0.02648,0,0.15754,0.02131,0,0.578365,0.502625,0.059455,0.363477,0.338847,0.3536,0.087664,0.233002,0.1951,0.07682
01.01.2025 03:00,0.06016,0.306833,0.111967,0.609455,0.130377,0.260064,0.438508,0.577704,0,0.500274,0.46751,0.554255,0.36673,0.190637,0.449372,0.572625,0.236068,0.245429,0.668109,0,0,0.15765,0.0213,0,0.576665,0.502492,0.044515,0.359085,0.249123,0.35307,0.087212,0.230574,0.19506,0.07675
01.01.2025 04:00,0.05997,0.305347,0.111861,0.587503,0.135743,0.258158,0.438407,0.5751,0,0.469075,0.49933,0.520218,0.35804,0.191389,0.454076,0.571889,0.222147,0.30437,0.662744,0.021963,0,0.15766,0.02124,0,0.580272,0.50275,0.096728,0.359085,0.246115,0.35229,0.087112,0.230022,0.19502,0.07684
01.01.2025 05:00,0.05981,0.29917,0.111808,0.600317,0.146198,0.256335,0.437785,0.572534,0,0.448093,0.505766,0.504228,0.34805,0.191013,0.452298,0.570263,0.235557,0.24797,0.650112,0.008843,0,0.15763,0.02124,0,0.578221,0.501497,0.099913,0.346868,0.266165,0.35149,0.087814,0.230353,0.19499,0.077
01.01.2025 06:00,0.05963,0.312593,0.243969,0.629485,0.176561,0.25462,0.395415,0.577478,0,0.442985,0.4955,0.510834,0.3354,0.191201,0.45206,0.571275,0.244455,0.24912,0.673992,0.010099,0,0.15764,0.02122,0,0.578269,0.548493,0.103477,0.383399,0.314286,0.35076,0.140935,0.280464,0.19497,0.077
01.01.2025 07:00,0.05946,0.31656,0.307525,0.643951,0.261588,0.253042,0.388523,0.579511,0,0.445539,0.5095,0.522454,0.32132,0.21959,0.4538,0.57554,0.288092,0.248952,0.677972,0.011196,0,0.15769,0.02121,0,0.578581,0.635752,0.056459,0.3828,0.315288,0.35014,0.151177,0.366336,0.19498,0.07825
01.01.2025 08:00,0.05936,0.312538,0.272983,0.647896,0.262422,0.251599,0.43371,0.579083,0,0.444444,0.551395,0.521986,0.30763,0.2884,0.454195,0.569986,0.291285,0.249002,0.695276,0.013958,0,0.15769,0.02118,0,0.580287,0.65476,0.060137,0.384956,0.358396,0.34964,0.151459,0.306181,0.19498,0.07937
01.01.2025 09:00,0.05944,0.285947,0.238017,0.656528,0.178173,0.25032,0.31536,0.590379,0,0.467798,0.547278,0.501652,0.29669,0.289528,0.4504,0.575601,0.26953,0.2487,0.699429,0.141839,0,0.15768,0.02116,0,0.579547,0.63958,0.054999,0.358047,0.383459,0.34923,0.165838,0.302097,0.19496,0.08031
